issue_id,magazine,year,month,issue_label,source,listing_type,observed_on,title,condition,stock,price_jpy,is_set,set_size,unit_price_jpy,is_extra,list_price_jpy,matched_issue,url
world_boxing-2001-05,ワールドボクシング,2001,5,2001年5月号,yahoo_closed,sold,2026-09-04,送料無料即決！ ワールドボクシング2001年5月号増刊スーパーチャンピオンの世界SuperChamp畑山隆則マルコアントニオバレラナジームハメド,,,1100,0,1,1100,1,,1,https://auctions.yahoo.co.jp/jp/auction/p1232225725
world_boxing-2000-08,ワールドボクシング,2000,8,2000年8月号,yahoo_closed,sold,2026-09-04,送料無料即決！ワールドボクシング2000年8月号増刊Super Champ2000スーパーチャンピオンの世界デラホーヤロイ・ジョーンズ,,,950,0,1,950,1,,1,https://auctions.yahoo.co.jp/jp/auction/o1232223573
world_boxing-1996-06,ワールドボクシング,1996,6,1996年6月号,yahoo_closed,sold,2026-09-04,ワールドボクシング 1996年6月号,,,100,0,1,100,0,,1,https://auctions.yahoo.co.jp/jp/auction/t1224518764
world_boxing-1998-11,ワールドボクシング,1998,11,1998年11月号,yahoo_closed,sold,2026-09-04,ワールドボクシング 1998年11月号,,,100,0,1,100,0,,1,https://auctions.yahoo.co.jp/jp/auction/p1201764706
world_boxing-1997-07,ワールドボクシング,1997,7,1997年7月号,yahoo_closed,sold,2026-09-04,ワールドボクシング 1997年7月号増刊 Super Champ '97 新品状態品,,,1600,0,1,1600,1,,1,https://auctions.yahoo.co.jp/jp/auction/w1127362910
world_boxing-1995-09,ワールドボクシング,1995,9,1995年9月号,yahoo_closed,sold,2026-09-04,ワールドボクシング 1995年9月号増刊 Super Champ '95 新品状態品,,,1600,0,1,1600,1,,1,https://auctions.yahoo.co.jp/jp/auction/j1127344236
world_boxing-1998-09,ワールドボクシング,1998,9,1998年9月号,yahoo_closed,sold,2026-09-04,WORLD BOXING ワールドボクシング 1998年9月増刊号/CHAMP '98/永久保存版特集:世界のスーパーチャンピオン/WBA.WBC.IBF現役最強/グラビア,,,298,0,1,298,1,,1,https://auctions.yahoo.co.jp/jp/auction/x1208795031
world_boxing-1997-07,ワールドボクシング,1997,7,1997年7月号,yahoo_closed,sold,2026-09-04,ワールドボクシング1997年7月号増刊 SUPER CHAMP '97,,,100,0,1,100,1,,1,https://auctions.yahoo.co.jp/jp/auction/1218061510
world_boxing-1999-11,ワールドボクシング,1999,11,1999年11月号,yahoo_closed,sold,2026-09-04,送料無料即決スーパーチャンピオンワールドボクシング1999年11月号増刊デラホーヤトリニダードホリフィールドタイソンSuperCHAMP1999-2000,,,900,0,1,900,1,,1,https://auctions.yahoo.co.jp/jp/auction/s1232213531
world_boxing-1998-02,ワールドボクシング,1998,2,1998年2月号,yahoo_closed,sold,2026-09-04,ワールド・ボクシング 1998年2月号 飯田覚士,,,100,0,1,100,0,,1,https://auctions.yahoo.co.jp/jp/auction/j1228902857
