issue_id,magazine,year,month,issue_label,source,listing_type,observed_on,title,condition,stock,price_jpy,is_set,set_size,unit_price_jpy,is_extra,matched_issue,url
world_boxing-1998-02,ワールドボクシング,1998,2,1998年2月号,surugaya,asking,2026-09-04,ワールド・ボクシング VOL.17 No.2 1998年2月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE4122?tenpo_cd=
world_boxing-1999-07,ワールドボクシング,1999,7,1999年7月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.207 1999年7月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2367?tenpo_cd=
world_boxing-1999-05,ワールドボクシング,1999,5,1999年5月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.205 1999年5月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2365?tenpo_cd=
world_boxing-1999-10,ワールドボクシング,1999,10,1999年10月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.210 1999年10月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE4120?tenpo_cd=
world_boxing-1999-06,ワールドボクシング,1999,6,1999年6月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.206 1999年6月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2366?tenpo_cd=
world_boxing-2000-10,ワールドボクシング,2000,10,2000年10月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.222 2000年10月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2377?tenpo_cd=
world_boxing-1999-12,ワールドボクシング,1999,12,1999年12月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.212 1999年12月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2368?tenpo_cd=
world_boxing-1999-04,ワールドボクシング,1999,4,1999年4月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.204 1999年4月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2364?tenpo_cd=
world_boxing-2000-11,ワールドボクシング,2000,11,2000年11月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.223 2000年11月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2378?tenpo_cd=
world_boxing-2000-08,ワールドボクシング,2000,8,2000年8月号,surugaya,asking,2026-09-04,World Boxing ワールド・ボクシング No.220 2000年8月号,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE2375?tenpo_cd=
world_boxing-1995-02,ワールドボクシング,1995,2,1995年2月号,surugaya,asking,2026-09-04,世界名ボクサー究極の100人 ワールドボクシング1995年2月号増刊,,品切れ,240,0,1,240,1,1,https://www.suruga-ya.jp/product/detail/ZSARE25313?tenpo_cd=
world_boxing-1995-05,ワールドボクシング,1995,5,1995年5月号,surugaya,asking,2026-09-04,グレイシー 柔術ULTIMATEの一冊 ワールドボクシング1995年5月号増刊,,品切れ,240,0,1,240,1,1,https://www.suruga-ya.jp/product/detail/ZSARE6362?tenpo_cd=
