issue_id,magazine,year,month,issue_label,n_sold,sold_min_jpy,sold_median_jpy,sold_max_jpy,n_asking_instock,asking_instock_median_jpy,n_asking_soldout,asking_soldout_median_jpy,n_set,set_unit_median_jpy,n_extra,extra_median_jpy,estimated_value_jpy,basis,confidence,sources,notes
world_boxing-1995-01,ワールドボクシング,1995,1,1995年1月号,1,600,600,600,0,,0,,0,,0,,600,落札中央値(少数),中,yahoo_closed,
world_boxing-1995-02,ワールドボクシング,1995,2,1995年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-03,ワールドボクシング,1995,3,1995年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-04,ワールドボクシング,1995,4,1995年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-05,ワールドボクシング,1995,5,1995年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-06,ワールドボクシング,1995,6,1995年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-07,ワールドボクシング,1995,7,1995年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-08,ワールドボクシング,1995,8,1995年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-09,ワールドボクシング,1995,9,1995年9月号,0,,,,0,,0,,0,,1,1600,100,誌別ベースライン,参考値,yahoo_closed,
world_boxing-1995-10,ワールドボクシング,1995,10,1995年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-11,ワールドボクシング,1995,11,1995年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1995-12,ワールドボクシング,1995,12,1995年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-01,ワールドボクシング,1996,1,1996年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-02,ワールドボクシング,1996,2,1996年2月号,0,,,,0,,0,,1,213,0,,213,まとめ売り1冊単価,低,yahoo_closed,
world_boxing-1996-03,ワールドボクシング,1996,3,1996年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-04,ワールドボクシング,1996,4,1996年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-05,ワールドボクシング,1996,5,1996年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-06,ワールドボクシング,1996,6,1996年6月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
world_boxing-1996-07,ワールドボクシング,1996,7,1996年7月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-08,ワールドボクシング,1996,8,1996年8月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-09,ワールドボクシング,1996,9,1996年9月号,1,100,100,100,0,,0,,0,,0,,100,落札中央値(少数),中,yahoo_closed,
world_boxing-1996-10,ワールドボクシング,1996,10,1996年10月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-11,ワールドボクシング,1996,11,1996年11月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1996-12,ワールドボクシング,1996,12,1996年12月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-01,ワールドボクシング,1997,1,1997年1月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-02,ワールドボクシング,1997,2,1997年2月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-03,ワールドボクシング,1997,3,1997年3月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-04,ワールドボクシング,1997,4,1997年4月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-05,ワールドボクシング,1997,5,1997年5月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-06,ワールドボクシング,1997,6,1997年6月号,0,,,,0,,0,,0,,0,,100,誌別ベースライン,参考値,,
world_boxing-1997-07,ワールドボクシング,1997,7,1997年7月号,0,,,,0,,0,,0,,2,850,100,誌別ベースライン,参考値,yahoo_closed,
